key,tables,label1,label2,l2d,label3,label4,shortDesc,sign,unit,tipTitle,mainTip,teamTip,playerTip
atb3FgaFreqClockS23,"pgps,taps,paps,tgps",FGA%,ATB3 FGA% (20-30s) C,1,ATB3 FGA% (20-30s) % Clock,Above Break 3s FGA% (20-30s) % of 20-30s shots,NA,pos,pct,"Above The Break 3s FGA Freq, 20 - 30 Seconds Left on Shot Clock (% of 20 - 30s shots)",Percentage of all shots taken with 20 - 30 seconds remaining on the shot clock that were above the break 3s.,NA,NA
atb3FgaFreqZoneS01,"pgps,taps,paps,tgps",FGA%,ATB3 FGA% (0-10s) Z,1,ATB3 FGA% (0-10s) % ATB 3s,Above Break 3s FGA% (0-10s) % of ATB 3s,NA,pos,pct,"Above The Break 3s FGA Freq, 0 - 10 Seconds Left on Shot Clock (% of ATB 3s)",Percentage of all above the break 3s that were taken with 0 - 10 seconds remaining on the shot clock.,NA,NA
atb3FgaFreqZoneS12,"pgps,taps,paps,tgps",FGA%,ATB3 FGA% (10-20s) Z,1,ATB3 FGA% (10-20s) % ATB 3s,Above Break 3s FGA% (10-20s) % of ATB 3s,NA,pos,pct,"Above The Break 3s FGA Freq, 10 - 20 Seconds Left on Shot Clock (% of ATB 3s)",Percentage of all above the break 3s that were taken with 10 - 20 seconds remaining on the shot clock.,NA,NA
atb3FgaFreqZoneS23,"pgps,taps,paps,tgps",FGA%,ATB3 FGA% (20-30s) Z,1,ATB3 FGA% (20-30s) % ATB 3s,Above Break 3s FGA% (20-30s) % of ATB 3s,NA,pos,pct,"Above The Break 3s FGA Freq, 20 - 30 Seconds Left on Shot Clock (% of ATB 3s)",Percentage of all above the break 3s that were taken with 20 - 30 seconds remaining on the shot clock.,NA,NA
atb3FgaP100,"taps,paps,lu,oo",FGA/100,ATB3 FGA/100,1,ATB 3s FGA / 100,Above Break 3s FGA / 100 Poss,NA,pos,num,Above The Break 3s Field Goal Attempts / 100 Possessions,Field goal attempts on above the break 3s per 100 possessions played.,NA,NA
atb3FgaP40,"taps,paps,lu,oo",FGA/40,ATB3 FGA/40,1,ATB 3s FGA / 40,Above Break 3s FGA / 40 Mins,NA,pos,num,Above The Break 3s Field Goal Attempts / 40 Minutes,Field goal attempts on above the break 3s per 40 minutes played.,NA,NA
atb3FgaPg,"taps,paps",FGA/G,ATB3 FGA/G,1,ATB 3s FGA / Game,Above Break 3s FGA / Game,NA,pos,num,Above The Break 3s Field Goal Attempts / Game,Field goal attempts on above the break 3s per game.,NA,NA
atb3FgaS01,"pgps,taps,paps,tgps",FGA,ATB3 FGA (0-10s),1,ATB 3s FGA (0-10s),Above Break 3s FGAs with 0-10 Secs on Shot Clock,NA,pos,int,Above Break 3s FGAs with 0 - 10 Seconds Left on Shot Clock,The total number of field goal attempts on above the break 3s taken with 0 - 10 seconds remaining on the shot clock.,NA,NA
atb3FgaS12,"pgps,taps,paps,tgps",FGA,ATB3 FGA (10-20s),1,ATB 3s FGA (10-20s),Above Break 3s FGAs with 10-20 Secs on Shot Clock,NA,pos,int,Above Break 3s FGAs with 10 - 20 Seconds Left on Shot Clock,The total number of field goal attempts on above the break 3s taken with 10 - 20 seconds remaining on the shot clock.,NA,NA
atb3FgaS23,"pgps,taps,paps,tgps",FGA,ATB3 FGA (20-30s),1,ATB 3s FGA (20-30s),Above Break 3s FGAs with 20-30 Secs on Shot Clock,NA,pos,int,Above Break 3s FGAs with 20 - 30 Seconds Left on Shot Clock,The total number of field goal attempts on above the break 3s taken with 20 - 30 seconds remaining on the shot clock.,NA,NA
atb3Fgm,"pgps,taps,paps,lu,tgps,oo",FGM,ATB3 FGM,1,ATB 3s FGM,Above Break 3s FGM,NA,pos,int,Above The Break 3s Field Goals Made,The total number of field goals made on above the break 3s.,NA,NA
atb3FgmA,"pgps,taps,paps,tgps",aFGM,ATB3 aFGM,1,Assisted Above Break 3s,Assisted Above Break 3s,NA,pos,int,Assisted Above The Break 3s,NA,The total number of assisted above the break 3s made by the team.,The total number of assisted above the break 3s made by the player.
atb3FgmAP100,"taps,paps",aFGM/100,ATB3 aFGM/100,1,Assisted Above Break 3s / 100 Poss,Assisted Above Break 3s / 100 Poss,NA,pos,num,Assisted Above The Break 3s / 100 Possessions,NA,"The number of assisted above the break 3s made by the team, per 100 possessions played.","The number of assisted above the break 3s made by the player, per 100 possessions played."
atb3FgmAP40,"taps,paps",aFGM/40,ATB3 aFGM/40,1,Assisted Above Break 3s / 40 Mins,Assisted Above Break 3s / 40 Mins,NA,pos,num,Assisted Above The Break 3s / 40 Minutes,NA,"The number of assisted above the break 3s made by the team, per 40 minutes played.","The number of assisted above the break 3s made by the player, per 40 minutes played."
atb3FgmAPg,"taps,paps",aFGM/G,ATB3 aFGM/G,1,Assisted Above Break 3s / Game,Assisted Above Break 3s / Game,NA,pos,num,Assisted Above The Break 3s / Game,NA,"The number of assisted above the break 3s made by the team, per game.","The number of assisted above the break 3s made by the player, per game."
atb3FgmS01,"pgps,taps,paps,tgps",FGM,ATB3 FGM (0-10s),1,ATB 3s FGM (0-10s),Above Break 3s FGMs with 0-10 Secs on Shot Clock,NA,pos,int,Above Break 3s FGMs with 0 - 10 Seconds Left on Shot Clock,The total number of field goals made on above the break 3s taken with 0 - 10 seconds remaining on the shot clock.,NA,NA
atb3FgmS12,"pgps,taps,paps,tgps",FGM,ATB3 FGM (10-20s),1,ATB 3s FGM (10-20s),Above Break 3s FGMs with 10-20 Secs on Shot Clock,NA,pos,int,Above Break 3s FGMs with 10 - 20 Seconds Left on Shot Clock,The total number of field goals made on above the break 3s taken with 10 - 20 seconds remaining on the shot clock.,NA,NA
atb3FgmS23,"pgps,taps,paps,tgps",FGM,ATB3 FGM (20-30s),1,ATB 3s FGM (20-30s),Above Break 3s FGMs with 20-30 Secs on Shot Clock,NA,pos,int,Above Break 3s FGMs with 20 - 30 Seconds Left on Shot Clock,The total number of field goals made on above the break 3s taken with 20 - 30 seconds remaining on the shot clock.,NA,NA
atb3FgmU,"pgps,taps,paps,tgps",uFGM,ATB3 uFGM,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
atb3Orb,"taps,tgps",ORB,ATB3 ORB,1,Above Break 3s Off Rebounds,Above Break 3s Offensive Rebounds,NA,pos,int,Above The Break 3s Offensive Rebounds,The total number of offensive rebounds grabbed on the team's missed above the break 3s.,NA,NA
atb3OrbChnc,"taps,tgps",CHNC,ATB3 ORB CHNC,1,Above Break 3s Off Rebound Chances,Above Break 3s Offensive Rebound Chances,NA,pos,int,Above The Break 3s Offensive Rebound Chances,The total number of offensive rebounds chances (offensive rebounds grabbed plus opponent defensive rebounds) on the team's missed above the break 3s.,NA,NA
atb3OrbPct,"taps,tgps",ORB%,ATB3 ORB%,1,Above Break 3s Off Rebound Pct,Above Break 3s Offensive Rebounding Percentage,NA,pos,pct,Above The Break 3s Offensive Rebounding Percentage,Percentage of the team's missed above the break 3s that were offensive rebounded by the team.,NA,NA
atb3Reb,"taps,tgps",REB,ATB3 REB,1,Above Break 3s Rebounds,Above Break 3s Rebounds,NA,pos,int,Above The Break 3s Rebounds,The total number of rebounds grabbed on the team's and opponent's missed above the break 3s.,NA,NA
atb3RebChnc,"taps,tgps",CHNC,ATB3 REB CHNC,1,Above Break 3s Rebound Chances,Above Break 3s Rebound Chances,NA,pos,int,Above The Break 3s Rebound Chances,The total number of rebounds chances (rebounds grabbed plus opponent rebounds) on the team's and opponent's missed above the break 3s.,NA,NA
atb3RebPct,"taps,tgps",REB%,ATB3 REB%,1,Above Break 3s Rebound Pct,Above Break 3s Rebounding Percentage,NA,pos,pct,Above The Break 3s Rebounding Percentage,Percentage of the team's and opponent's missed above the break 3s that were rebounded by the team.,NA,NA
atr2Ast,"pgps,paps",AST,ATR2 AST,1,At Rim Assists,At The Rim Assists,NA,pos,int,At The Rim Assists,"The total number of assists where the shooter scored at the rim, within 4.5 feet of the basket.",NA,NA
atr2AstP100,paps,AST/100,ATR2 AST/100,1,At Rim Assists / 100 Poss,At The Rim Assists / 100 Poss,NA,pos,num,At The Rim Assists / 100 Poss,"The total number of assists per 100 possessions where the shooter scored at the rim, within 4.5 feet of the basket.",NA,NA
atr2AstP40,"pgps,paps",AST/40,ATR2 AST/40,1,At Rim Assists / 40 Mins,At The Rim Assists / 40 Mins,NA,pos,num,At The Rim Assists / 40 Mins,"The total number of assists per 40 minutes where the shooter scored at the rim, within 4.5 feet of the basket.",NA,NA
atr2AstPg,paps,AST/G,ATR2 AST/G,1,At Rim Assists / Game,At The Rim Assists / Game,NA,pos,num,At The Rim Assists / Game,"The total number of assists per game where the shooter scored at the rim, within 4.5 feet of the basket.",NA,NA
atr2AstdPct,"pgps,taps,paps,tgps",ASTD%,ATR2 ASTD%,1,At Rim Assisted Pct,At The Rim Assisted Pct,NA,pos,pct,At The Rim Assisted Percentage,"The percentage of shots made at the rim that were assisted, within 4.5 feet of the basket.",NA,NA
atr2Drb,"taps,tgps",DRB,ATR2 DRB,1,At Rim Def Rebounds,At The Rim Defensive Rebounds,NA,pos,int,At The Rim Defensive Rebounds,The total number of defensive rebounds grabbed on opponent's missed shots at the rim.,NA,NA
atr2DrbChnc,"taps,tgps",CHNC,ATR2 DRB CHNC,1,At Rim Def Rebound Chances,At The Rim Defensive Rebound Chances,NA,pos,int,At The Rim Defensive Rebound Chances,The total number of defensive rebounds chances (defensive rebounds grabbed plus opponent offensive rebounds) on opponent's missed shots at the rim.,NA,NA
atr2DrbPct,"taps,tgps",DRB%,ATR2 DRB%,1,At Rim Def Rebound Pct,At The Rim Defensive Rebounding Percentage,NA,pos,pct,At The Rim Defensive Rebounding Percentage,Percentage of the opponent's missed shots at the rim that were defensive rebounded by the team.,NA,NA
atr2FgPct,"pgps,taps,paps,lu,tgps,oo",FG%,ATR2 FG%,1,At Rim FG%,At The Rim FG%,NA,pos,pct,At The Rim Field Goal Percentage,"Field goal percentage at the rim, within 4.5 feet of the basket.",NA,NA
atr2FgPctS01,"pgps,taps,paps,tgps",FG%,ATR2 FG% (0-10s),1,ATR2 FG% (0-10s on Shot Clock),At The Rim FG% with 0-10 Secs on Shot Clock,NA,pos,pct,At The Rim FG% with 0-10 Secs on Shot Clock,Field goal percentage on shots taken at the rim with 0 - 10 seconds remaining on the shot clock.,NA,NA
atr2FgPctS12,"pgps,taps,paps,tgps",FG%,ATR2 FG% (10-20s),1,ATR2 FG% (10-20s on Shot Clock),At The Rim FG% with 10-20 Secs on Shot Clock,NA,pos,pct,At The Rim FG% with 10-20 Secs on Shot Clock,Field goal percentage on shots taken at the rim with 10 - 20 seconds remaining on the shot clock.,NA,NA
atr2FgPctS23,"pgps,taps,paps,tgps",FG%,ATR2 FG% (20-30s),1,ATR2 FG% (20-30s on Shot Clock),At The Rim FG% with 20-30 Secs on Shot Clock,NA,pos,pct,At The Rim FG% with 20-30 Secs on Shot Clock,Field goal percentage on shots taken at the rim with 20 - 30 seconds remaining on the shot clock.,NA,NA
atr2Fga,"pgps,taps,paps,lu,tgps,oo",FGA,ATR2 FGA,1,At Rim FGA,At The Rim FGA,NA,pos,int,At The Rim Field Goal Attempts,"Field goal attempts at the rim, within 4.5 feet of the basket.",NA,NA
atr2FgaFreq,"pgps,taps,paps,lu,tgps,oo",FGA%,ATR2 FGA%,1,At Rim FGA%,At The Rim FGA%,NA,pos,pct,At The Rim Field Goal Attempt Frequency,"Percentage of shots taken at the rim, within 4.5 feet of the basket.",NA,NA
atr2FgaFreqAllS01,"pgps,taps,paps,tgps",FGA%,ATR2 FGA% (0-10s) A,1,At Rim FGA% (0-10s) % All,At The Rim FGA% (0-10s) % of all shots,NA,pos,pct,"At The Rim FGA Freq, 0 - 10 Seconds Left on Shot Clock (% of all shots)",Percentage of all shots taken that were at the rim with 0 - 10 seconds remaining on the shot clock.,NA,NA
atr2FgaFreqAllS12,"pgps,taps,paps,tgps",FGA%,ATR2 FGA% (10-20s) A,1,At Rim FGA% (10-20s) % All,At The Rim FGA% (10-20s) % of all shots,NA,pos,pct,"At The Rim FGA Freq, 10 - 20 Seconds Left on Shot Clock (% of all shots)",Percentage of all shots taken that were at the rim with 10 - 20 seconds remaining on the shot clock.,NA,NA
atr2FgaFreqAllS23,"pgps,taps,paps,tgps",FGA%,ATR2 FGA% (20-30s) A,1,At Rim FGA% (20-30s) % All,At The Rim FGA% (20-30s) % of all shots,NA,pos,pct,"At The Rim FGA Freq, 20 - 30 Seconds Left on Shot Clock (% of all shots)",Percentage of all shots taken that were at the rim with 20 - 30 seconds remaining on the shot clock.,NA,NA
atr2FgaFreqClockS01,"pgps,taps,paps,tgps",FGA%,ATR2 FGA% (0-10s) C,1,At Rim FGA% (0-10s) % Clock,At The Rim FGA% (0-10s) % of 0-10s shots,NA,pos,pct,"At The Rim FGA Freq, 0 - 10 Seconds Left on Shot Clock (% of  0 - 10s shots)",Percentage of all shots taken with 0 - 10 seconds remaining on the shot clock that were at the rim.,NA,NA
atr2FgaFreqClockS12,"pgps,taps,paps,tgps",FGA%,ATR2 FGA% (10-20s) C,1,At Rim FGA% (10-20s) % Clock,At The Rim FGA% (10-20s) % of 10-20s shots,NA,pos,pct,"At The Rim FGA Freq, 10 - 20 Seconds Left on Shot Clock (% of 10 - 20s shots)",Percentage of all shots taken with 10 - 20 seconds remaining on the shot clock that were at the rim.,NA,NA
atr2FgaFreqClockS23,"pgps,taps,paps,tgps",FGA%,ATR2 FGA% (20-30s) C,1,At Rim FGA% (20-30s) % Clock,At The Rim FGA% (20-30s) % of 20-30s shots,NA,pos,pct,"At The Rim FGA Freq, 20 - 30 Seconds Left on Shot Clock (% of 20 - 30s shots)",Percentage of all shots taken with 20 - 30 seconds remaining on the shot clock that were at the rim.,NA,NA
atr2FgaFreqZoneS01,"pgps,taps,paps,tgps",FGA%,ATR2 FGA% (0-10s) Z,1,At Rim FGA% (0-10s) % ATR,At The Rim FGA% (0-10s) % of ATR,NA,pos,pct,"At The Rim FGA Freq, 0 - 10 Seconds Left on Shot Clock (% of ATR)",Percentage of all shots at the rim that were taken with 0 - 10 seconds remaining on the shot clock.,NA,NA
atr2FgaFreqZoneS12,"pgps,taps,paps,tgps",FGA%,ATR2 FGA% (10-20s) Z,1,At Rim FGA% (10-20s) % ATR,At The Rim FGA% (10-20s) % of ATR,NA,pos,pct,"At The Rim FGA Freq, 10 - 20 Seconds Left on Shot Clock (% of ATR)",Percentage of all shots at the rim that were taken with 10 - 20 seconds remaining on the shot clock.,NA,NA
atr2FgaFreqZoneS23,"pgps,taps,paps,tgps",FGA%,ATR2 FGA% (20-30s) Z,1,At Rim FGA% (20-30s) % ATR,At The Rim FGA% (20-30s) % of ATR,NA,pos,pct,"At The Rim FGA Freq, 20 - 30 Seconds Left on Shot Clock (% of ATR)",Percentage of all shots at the rim that were taken with 20 - 30 seconds remaining on the shot clock.,NA,NA
atr2FgaP100,"taps,paps,lu,oo",FGA/100,ATR2 FGA/100,1,At Rim FGA / 100,At The Rim FGA / 100 Poss,NA,pos,num,At The Rim Field Goal Attempts / 100 Possessions,Field goal attempts at the rim (within 4.5 feet of the basket) per 100 possessions played.,NA,NA
atr2FgaP40,"taps,paps,lu,oo",FGA/40,ATR2 FGA/40,1,At Rim FGA / 40,At The Rim FGA / 40 Mins,NA,pos,num,At The Rim Field Goal Attempts / 40 Minutes,Field goal attempts at the rim (within 4.5 feet of the basket) per 40 minutes played.,NA,NA
atr2FgaPg,"taps,paps",FGA/G,ATR2 FGA/G,1,At Rim FGA / Game,At The Rim FGA / Game,NA,pos,num,At The Rim Field Goal Attempts / Game,Field goal attempts at the rim (within 4.5 feet of the basket) per game.,NA,NA
atr2FgaS01,"pgps,taps,paps,tgps",FGA,ATR2 FGA (0-10s),1,At Rim FGA (0-10s),At The Rim FGAs with 0-10 Secs on Shot Clock,NA,pos,int,At The Rim FGAs with 0 - 10 Seconds Left on Shot Clock,The total number of field goal attempts at the rim taken with 0 - 10 seconds remaining on the shot clock.,NA,NA
atr2FgaS12,"pgps,taps,paps,tgps",FGA,ATR2 FGA (10-20s),1,At Rim FGA (10-20s),At The Rim FGAs with 10-20 Secs on Shot Clock,NA,pos,int,At The Rim FGAs with 10 - 20 Seconds Left on Shot Clock,The total number of field goal attempts at the rim taken with 10 - 20 seconds remaining on the shot clock.,NA,NA
